Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2017-12-30 9:36:58,21.0,189.2,200.5,0.2,0.1,40757.1,8590,0,Normal,4.20,39,31,16.0,0.1,241.7,49.98,0.1,240.2,49.98,0.1,242.1,49.98,40634.829,1222.713,10922.903,16302.840
2017-12-30 9:37:17,10.0,120.5,119.6,0.0,0.0,40752.9,8590,0,Fault,0.00,30,24,-5.0,0.0,239.8,49.98,0.0,238.0,49.98,0.0,239.6,49.98,40630.641,1222.587,10921.777,16301.160
2017-12-30 9:42:17,11.0,120.8,119.8,0.0,0.0,40752.9,8590,0,Fault,0.00,31,24,-1.0,0.0,239.4,49.99,0.0,238.0,49.99,0.0,240.0,49.99,40630.641,1222.587,10921.777,16301.160
2017-12-30 9:47:17,12.0,145.2,144.2,0.0,0.0,40752.9,8590,0,Fault,0.00,39,30,0.0,0.0,239.7,50.00,0.0,238.4,50.00,0.0,240.1,50.00,40630.641,1222.587,10921.777,16301.160
2017-12-30 9:52:18,13.0,727.2,726.2,0.0,0.0,40752.9,8590,0,Fault,0.00,183,123,2.0,0.0,239.3,49.98,0.0,238.3,49.98,0.0,239.7,49.98,40630.641,1222.587,10921.777,16301.160
2017-12-30 9:57:19,14.0,739.4,738.3,0.0,0.0,40752.9,8590,0,Wait,0.00,186,124,3.0,0.0,239.5,49.97,0.0,237.9,49.97,0.0,239.8,49.97,40630.641,1222.587,10921.777,16301.160
2017-12-30 10:2:19,14.0,592.8,592.0,0.2,0.2,40752.9,8590,249,Normal,0.00,178,131,20.0,1.1,238.4,49.99,0.8,237.2,49.99,0.9,239.3,49.99,40630.641,1222.587,10921.777,16301.160
2017-12-30 10:7:19,15.0,592.7,591.9,0.2,0.2,40752.9,8590,250,Normal,0.00,178,131,20.0,1.0,238.4,49.99,0.8,237.1,49.99,0.8,238.8,49.99,40630.641,1222.587,10921.777,16301.160
2017-12-30 10:12:19,15.0,586.4,591.4,0.3,0.2,40752.9,8591,251,Normal,0.00,178,133,21.0,1.1,238.5,50.00,0.9,236.8,50.00,0.8,238.7,50.00,40630.641,1222.587,10921.777,16301.160
2017-12-30 10:17:19,16.0,589.8,591.6,0.3,0.2,40752.9,8591,254,Normal,0.00,179,134,21.0,1.1,238.5,50.00,0.8,236.8,50.00,0.8,238.9,50.00,40630.641,1222.587,10921.777,16301.160
2017-12-30 10:22:19,16.0,602.0,601.2,0.3,0.2,40752.9,8591,261,Normal,0.00,184,136,22.0,1.1,242.4,50.01,0.9,240.7,50.01,0.8,242.3,50.01,40630.641,1222.587,10921.777,16301.160
2017-12-30 10:27:19,16.0,601.7,600.9,0.3,0.2,40753.0,8591,263,Normal,0.10,185,137,22.0,1.1,241.8,49.99,0.9,240.2,49.99,0.8,242.4,49.99,40630.741,1222.590,10921.804,16301.200
2017-12-30 10:32:19,17.0,602.2,601.4,0.3,0.2,40753.0,8591,277,Normal,0.10,192,144,23.0,1.1,241.6,49.99,0.9,240.4,49.99,0.8,242.2,49.99,40630.741,1222.590,10921.804,16301.200
2017-12-30 10:37:19,17.0,601.5,600.8,0.3,0.2,40753.0,8591,261,Normal,0.10,184,137,23.0,1.1,241.8,50.00,0.9,240.3,50.00,0.8,241.9,50.00,40630.741,1222.590,10921.804,16301.200
2017-12-30 10:42:19,17.0,594.5,593.7,0.3,0.2,40753.0,8591,263,Normal,0.10,185,138,23.0,1.1,239.0,50.01,0.9,237.4,50.01,0.8,239.1,50.01,40630.741,1222.590,10921.804,16301.200
2017-12-30 10:47:19,17.0,587.9,593.2,0.3,0.2,40753.1,8591,264,Normal,0.20,184,139,23.0,1.1,238.5,50.02,0.8,237.1,50.02,0.8,238.9,50.02,40630.841,1222.593,10921.831,16301.240
2017-12-30 10:52:19,17.0,594.2,591.0,0.3,0.2,40753.1,8591,269,Normal,0.20,188,140,24.0,1.1,238.9,50.01,0.9,237.5,50.01,0.8,239.2,50.01,40630.841,1222.593,10921.831,16301.240
2017-12-30 10:57:19,17.0,595.1,594.4,0.3,0.2,40753.1,8591,278,Normal,0.20,192,145,24.0,1.1,238.7,50.00,0.8,237.8,50.00,0.9,239.2,50.00,40630.841,1222.593,10921.831,16301.240
2017-12-30 11:2:34,17.0,594.1,593.4,0.3,0.2,40753.1,8591,260,Normal,0.20,184,136,24.0,1.1,239.1,49.99,0.9,237.4,49.99,0.8,239.3,49.99,40630.841,1222.593,10921.831,16301.240
2017-12-30 11:7:34,18.0,593.5,592.8,0.3,0.2,40753.1,8591,260,Normal,0.20,183,136,24.0,1.1,238.5,49.99,0.8,237.2,49.99,0.8,239.3,49.99,40630.841,1222.593,10921.831,16301.240
2017-12-30 11:12:35,18.0,593.0,592.2,0.3,0.2,40753.2,8592,258,Normal,0.30,182,135,24.0,1.1,238.7,50.00,0.8,237.2,50.00,0.8,239.1,50.00,40630.940,1222.596,10921.858,16301.280
2017-12-30 11:17:35,18.0,592.9,592.2,0.3,0.2,40753.2,8592,262,Normal,0.30,184,137,24.0,1.1,238.5,50.00,0.8,236.9,50.00,0.8,238.8,50.00,40630.940,1222.596,10921.858,16301.280
