Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2017-12-23 9:26:33,6.0,119.7,118.7,0.0,0.0,40695.1,8538,0,Fault,0.00,30,24,-14.0,0.0,243.1,50.02,0.0,241.2,50.02,0.0,243.3,50.02,40573.015,1220.853,10906.287,16278.040
2017-12-23 9:26:52,8.0,120.3,119.3,0.0,0.0,40695.1,8538,0,Fault,0.00,30,24,-8.0,0.0,242.5,50.03,0.0,241.2,50.03,0.0,243.1,50.03,40573.015,1220.853,10906.287,16278.040
2017-12-23 9:31:52,10.0,148.1,147.2,0.0,0.0,40695.1,8538,0,Fault,0.00,39,31,-2.0,0.0,241.9,50.00,0.0,241.0,50.00,0.0,242.6,50.00,40573.015,1220.853,10906.287,16278.040
2017-12-23 9:36:52,12.0,770.2,769.2,0.0,0.0,40695.1,8538,0,Fault,0.00,189,132,1.0,0.0,242.7,50.01,0.0,241.5,50.01,0.0,243.1,50.01,40573.015,1220.853,10906.287,16278.040
2017-12-23 9:41:53,13.0,784.5,783.8,0.0,0.0,40695.1,8538,0,Check,0.00,193,135,2.0,0.0,241.8,50.01,0.0,240.1,50.01,0.0,242.4,50.01,40573.015,1220.853,10906.287,16278.040
2017-12-23 9:46:53,14.0,595.9,595.1,0.2,0.2,40695.1,8538,230,Normal,0.00,167,123,19.0,1.1,240.1,50.01,0.8,238.8,50.01,0.9,240.5,50.01,40573.015,1220.853,10906.287,16278.040
2017-12-23 9:51:53,14.0,596.1,580.0,0.2,0.2,40695.1,8538,233,Normal,0.00,170,123,20.0,1.1,239.6,50.01,0.8,238.9,50.01,0.9,240.0,50.01,40573.015,1220.853,10906.287,16278.040
2017-12-23 9:56:53,14.0,595.6,594.8,0.2,0.2,40695.1,8539,227,Normal,0.00,165,121,20.0,1.1,239.9,50.02,0.8,238.7,50.02,0.9,240.3,50.02,40573.015,1220.853,10906.287,16278.040
2017-12-23 10:1:54,15.0,596.1,595.3,0.2,0.2,40695.1,8539,237,Normal,0.00,170,126,21.0,1.1,239.0,49.99,0.8,238.0,49.99,0.9,240.1,49.99,40573.015,1220.853,10906.287,16278.040
2017-12-23 10:6:54,15.0,595.8,588.4,0.2,0.2,40695.1,8539,244,Normal,0.00,174,130,21.0,1.1,239.7,49.99,0.8,238.6,49.99,0.9,240.3,49.99,40573.015,1220.853,10906.287,16278.040
2017-12-23 10:11:54,15.0,595.5,594.7,0.2,0.2,40695.2,8539,230,Normal,0.10,167,123,21.0,1.1,240.3,49.98,0.8,238.6,49.98,0.8,240.9,49.98,40573.114,1220.856,10906.314,16278.080
2017-12-23 10:16:55,15.0,596.3,595.6,0.3,0.2,40695.2,8539,258,Normal,0.10,180,137,22.0,1.1,239.8,50.00,0.8,238.5,50.00,0.9,240.2,50.00,40573.114,1220.856,10906.314,16278.080
2017-12-23 10:21:55,16.0,596.0,595.3,0.2,0.2,40695.2,8539,243,Normal,0.10,174,129,22.0,1.1,239.8,49.99,0.8,238.7,49.99,0.9,240.5,49.99,40573.114,1220.856,10906.314,16278.080
2017-12-23 10:26:55,16.0,596.2,595.5,0.2,0.2,40695.2,8539,248,Normal,0.10,175,132,22.0,1.1,239.7,49.98,0.8,238.4,49.98,0.9,240.3,49.98,40573.114,1220.856,10906.314,16278.080
