Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2015-9-22 7:16:14,23.0,106.6,105.6,0.0,0.0,6246.9,1251,0,Fault,0.00,0,0,16.0,0.0,239.2,50.00,0.0,237.9,50.00,0.0,241.2,50.00,6228.159,187.407,1674.169,2498.760
2015-9-22 7:16:33,23.0,113.7,112.7,0.0,0.0,6246.9,1251,0,Fault,0.00,0,0,18.0,0.0,239.3,50.01,0.0,238.0,50.01,0.0,241.2,50.01,6228.159,187.407,1674.169,2498.760
2015-9-22 7:21:33,25.0,144.4,143.3,0.0,0.0,6246.9,1251,0,Fault,0.00,0,0,20.0,0.0,242.6,49.98,0.0,241.0,49.98,0.0,244.2,49.98,6228.159,187.407,1674.169,2498.760
2015-9-22 7:26:33,27.0,718.8,716.7,0.0,0.0,6246.9,1251,0,Fault,0.00,0,0,22.0,0.0,242.8,50.00,0.0,241.0,50.00,0.0,244.5,50.00,6228.159,187.407,1674.169,2498.760
2015-9-22 7:31:33,27.0,595.4,593.9,0.1,0.1,6246.9,1251,0,Normal,0.00,114,90,29.0,0.9,242.1,50.02,0.7,240.8,50.02,0.8,243.5,50.02,6228.159,187.407,1674.169,2498.760
2015-9-22 7:36:33,28.0,601.8,600.0,0.1,0.1,6246.9,1251,0,Normal,0.00,95,80,32.0,0.8,242.1,49.98,0.7,240.5,49.98,0.8,243.6,49.98,6228.159,187.407,1674.169,2498.760
2015-9-22 7:41:33,28.0,606.0,604.3,0.2,0.1,6246.9,1251,16,Normal,0.00,135,100,33.0,0.8,242.0,49.99,0.7,240.3,49.99,0.8,243.6,49.99,6228.159,187.407,1674.169,2498.760
2015-9-22 7:46:33,29.0,664.5,662.8,0.2,0.1,6246.9,1251,23,Normal,0.00,181,125,35.0,0.8,242.3,49.98,0.8,241.3,49.98,0.8,243.5,49.98,6228.159,187.407,1674.169,2498.760
2015-9-22 7:51:33,29.0,667.1,684.1,0.3,0.2,6246.9,1251,71,Normal,0.00,230,150,36.0,0.8,243.7,49.99,0.8,241.3,49.99,0.9,245.5,49.99,6228.159,187.407,1674.169,2498.760
2015-9-22 7:56:33,29.0,665.5,715.7,0.3,0.2,6246.9,1251,44,Normal,0.00,235,150,37.0,0.8,242.5,50.00,0.8,240.8,50.00,0.9,244.8,50.00,6228.159,187.407,1674.169,2498.760
