Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2016-5-5 5:34:46,0.0,114.8,114.0,0.0,0.0,3925.5,1114,0,Fault,0.00,25,23,0.0,0.0,239.6,49.99,0.0,239.6,49.99,0.0,243.3,49.99,3913.724,117.765,1052.034,1570.200
2016-5-5 5:35:5,15.0,118.1,117.2,0.0,0.0,3925.5,1114,0,Fault,0.00,26,24,13.0,0.0,239.7,49.99,0.0,239.6,49.99,0.0,243.3,49.99,3913.724,117.765,1052.034,1570.200
2016-5-5 5:40:5,18.0,159.9,159.2,0.0,0.0,3925.5,1114,0,Fault,0.00,38,34,17.0,0.0,239.7,49.98,0.0,239.8,49.98,0.0,243.4,49.98,3913.724,117.765,1052.034,1570.200
2016-5-5 5:45:5,20.0,569.4,568.5,0.0,0.0,3925.5,1114,0,Fault,0.00,129,89,19.0,0.0,240.0,50.01,0.0,239.9,50.01,0.0,243.5,50.01,3913.724,117.765,1052.034,1570.200
2016-5-5 6:20:44,24.0,592.8,553.2,0.4,0.4,3925.6,1114,426,Normal,0.10,261,224,36.0,0.9,237.8,49.98,0.9,237.5,49.98,0.9,241.3,49.98,3913.823,117.768,1052.061,1570.240
2016-5-5 6:25:44,24.0,580.1,541.7,0.4,0.4,3925.7,1114,467,Normal,0.20,282,245,36.0,0.9,237.2,49.98,0.9,237.4,49.98,0.9,240.6,49.98,3913.923,117.771,1052.088,1570.280
2016-5-5 6:30:44,24.0,609.6,544.4,0.5,0.4,3925.7,1114,517,Normal,0.20,307,270,36.0,0.9,238.3,50.01,0.9,237.9,50.01,0.9,241.8,50.01,3913.923,117.771,1052.088,1570.280
2016-5-5 6:35:44,24.0,600.8,568.5,0.5,0.5,3925.7,1114,594,Normal,0.20,345,309,37.0,1.0,238.0,50.00,0.9,237.9,50.00,1.0,241.7,50.00,3913.923,117.771,1052.088,1570.280
2016-5-5 6:40:44,25.0,614.8,556.0,0.6,0.6,3925.8,1114,655,Normal,0.30,377,338,38.0,1.1,237.6,50.00,1.0,237.9,50.00,1.0,241.1,50.00,3914.023,117.774,1052.114,1570.320
2016-5-5 6:45:44,25.0,587.7,557.0,0.6,0.6,3925.9,1114,706,Normal,0.40,404,361,38.0,1.1,237.8,50.00,1.1,238.0,50.00,1.0,241.8,50.00,3914.122,117.777,1052.141,1570.360
