Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2015-10-26 7:12:6,19.0,548.5,548.0,0.0,0.0,1185.3,268,0,Fault,0.00,101,79,15.0,0.0,241.1,50.01,0.0,240.1,50.01,0.0,243.5,50.01,1181.744,35.559,317.660,474.120
2015-10-26 7:17:6,21.0,588.1,587.4,0.0,0.0,1185.3,268,0,Wait,0.00,114,79,17.0,0.0,241.4,50.00,0.0,240.0,50.00,0.0,243.5,50.00,1181.744,35.559,317.660,474.120
2015-10-26 7:22:6,22.0,549.6,539.1,0.2,0.2,1185.3,268,184,Normal,0.00,133,111,28.0,1.0,240.6,49.99,0.8,239.1,49.99,0.8,242.8,49.99,1181.744,35.559,317.660,474.120
2015-10-26 7:27:7,22.0,598.4,499.1,0.2,0.2,1185.3,268,225,Normal,0.00,153,132,30.0,1.0,240.8,49.99,0.8,239.2,49.99,0.8,242.8,49.99,1181.744,35.559,317.660,474.120
2015-10-26 7:32:7,22.0,566.1,562.1,0.3,0.2,1185.3,268,295,Normal,0.00,193,162,32.0,1.0,239.5,49.99,0.8,238.3,49.99,0.8,241.8,49.99,1181.744,35.559,317.660,474.120
2015-10-26 7:37:7,23.0,586.1,545.2,0.3,0.3,1185.3,268,348,Normal,0.00,223,185,32.0,0.9,240.3,50.01,0.8,238.6,50.01,0.8,242.6,50.01,1181.744,35.559,317.660,474.120
2015-10-26 7:42:7,23.0,595.1,546.1,0.4,0.3,1185.4,268,389,Normal,0.10,245,204,33.0,0.9,240.2,49.98,0.9,238.7,49.98,0.8,242.6,49.98,1181.844,35.562,317.687,474.160
2015-10-26 7:47:7,23.0,610.1,560.1,0.4,0.3,1185.4,269,420,Normal,0.10,268,212,34.0,0.9,239.0,50.02,0.9,237.7,50.02,0.8,241.2,50.02,1181.844,35.562,317.687,474.160
2015-10-26 7:52:7,24.0,570.1,554.1,0.5,0.4,1185.4,269,468,Normal,0.10,288,239,34.0,1.0,239.0,50.00,1.0,237.9,50.00,0.9,240.9,50.00,1181.844,35.562,317.687,474.160
2015-10-26 7:57:7,24.0,637.4,593.0,0.5,0.4,1185.5,269,594,Normal,0.20,372,282,34.0,1.0,239.0,50.00,1.1,237.6,50.00,1.0,241.0,50.00,1181.944,35.565,317.714,474.200
2015-10-26 8:2:7,24.0,650.6,601.1,0.6,0.5,1185.5,269,679,Normal,0.20,426,313,36.0,1.1,239.2,50.00,1.2,237.7,50.00,1.1,241.2,50.00,1181.944,35.565,317.714,474.200
2015-10-26 8:7:7,24.0,659.8,615.1,0.8,0.6,1185.6,269,871,Normal,0.30,551,380,36.0,1.2,237.4,49.99,1.4,236.1,49.99,1.3,239.7,49.99,1182.043,35.568,317.741,474.240
2015-10-26 8:12:7,24.0,651.6,625.1,0.9,0.6,1185.7,269,934,Normal,0.40,603,390,36.0,1.3,237.7,49.98,1.5,236.3,49.98,1.3,240.3,49.98,1182.143,35.571,317.768,474.280
2015-10-26 8:17:7,25.0,630.1,640.2,1.2,0.6,1185.7,269,1144,Normal,0.40,799,405,38.0,1.6,236.5,50.02,1.7,236.2,50.02,1.5,238.8,50.02,1182.143,35.571,317.768,474.280
2015-10-26 8:22:7,25.0,679.0,652.1,1.4,0.6,1185.9,269,1389,Normal,0.60,1019,429,38.0,1.8,236.9,49.98,1.9,235.8,49.98,1.8,239.2,49.98,1182.342,35.577,317.821,474.360
2015-10-26 8:27:7,25.0,675.9,593.1,1.8,0.9,1186.0,269,1802,Normal,0.70,1283,578,37.0,2.3,236.5,49.99,2.5,235.9,49.99,2.3,238.8,49.99,1182.442,35.580,317.848,474.400
2015-10-26 8:32:7,25.0,662.8,647.1,1.8,0.7,1186.1,269,1622,Normal,0.80,1209,472,37.0,2.1,241.1,50.00,2.2,239.6,50.00,2.0,243.3,50.00,1182.542,35.583,317.875,474.440
2015-10-26 8:37:7,25.0,652.1,664.5,1.9,0.7,1186.3,269,1732,Normal,1.00,1298,493,38.0,2.2,240.6,50.01,2.3,239.5,50.01,2.2,243.2,50.01,1182.741,35.589,317.928,474.520
2015-10-26 8:42:7,26.0,671.9,660.1,2.0,0.7,1186.4,269,1833,Normal,1.10,1382,510,38.0,2.3,240.1,49.98,2.5,239.1,49.98,2.3,242.2,49.98,1182.841,35.592,317.955,474.560
2015-10-26 8:47:7,26.0,652.2,663.4,2.4,0.8,1186.6,270,2069,Normal,1.30,1590,538,39.0,2.6,239.9,49.98,2.8,239.6,49.98,2.6,242.2,49.98,1183.040,35.598,318.009,474.640
2015-10-26 8:52:7,26.0,672.8,619.3,2.5,1.8,1186.8,270,2819,Normal,1.50,1701,1178,39.0,3.6,240.7,49.97,3.8,239.7,49.97,3.5,243.2,49.97,1183.240,35.604,318.062,474.720
2015-10-26 8:57:7,26.0,653.1,663.6,3.8,2.4,1187.0,270,4079,Normal,1.70,2512,1627,39.0,5.3,240.7,49.98,5.5,240.3,49.98,5.2,242.5,49.98,1183.439,35.610,318.116,474.800
2015-10-26 9:2:7,26.0,632.4,591.5,1.1,1.0,1187.3,270,1295,Normal,2.00,743,611,40.0,1.8,237.5,50.00,1.8,237.0,50.00,1.7,240.1,50.00,1183.738,35.619,318.196,474.920
2015-10-26 9:7:7,27.0,653.7,611.1,4.4,4.4,1187.7,270,5533,Normal,2.40,2942,2715,41.0,7.5,238.0,50.00,7.7,237.1,50.00,7.3,240.9,50.00,1184.137,35.631,318.304,475.080
2015-10-26 9:12:7,27.0,639.6,597.1,4.8,4.8,1188.2,270,5884,Normal,2.90,3124,2892,43.0,7.9,240.9,50.00,8.1,238.4,50.00,7.9,242.8,50.00,1184.635,35.646,318.438,475.280
2015-10-26 9:17:7,27.0,640.5,605.1,2.2,2.0,1188.7,270,2634,Normal,3.40,1451,1243,44.0,3.4,238.2,50.00,3.6,236.6,50.00,3.4,240.2,50.00,1185.134,35.661,318.572,475.480
2015-10-26 9:22:7,27.0,618.0,597.0,1.6,1.4,1189.0,270,1849,Normal,3.70,1015,893,44.0,2.4,237.9,50.01,2.5,236.6,50.01,2.4,239.9,50.01,1185.433,35.670,318.652,475.600
2015-10-26 9:27:7,27.0,618.1,593.0,2.4,2.3,1189.3,270,2905,Normal,4.00,1545,1420,44.0,3.8,237.6,49.99,4.0,237.0,49.99,3.7,239.9,49.99,1185.732,35.679,318.732,475.720
2015-10-26 9:32:7,28.0,622.2,592.1,1.9,1.8,1189.5,270,2264,Normal,4.20,1208,1115,44.0,3.0,238.2,50.02,3.1,237.1,50.02,2.9,240.2,50.02,1185.931,35.685,318.786,475.800
2015-10-26 9:37:7,28.0,604.7,584.1,2.0,2.0,1189.7,270,2386,Normal,4.40,1263,1182,44.0,3.1,239.7,49.99,3.2,238.9,49.99,3.1,241.5,49.99,1186.131,35.691,318.840,475.880
