Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2017-7-2 5:9:34,34.0,168.3,167.4,0.0,0.0,26725.6,6416,0,Fault,94.00,25,22,38.0,0.0,241.3,50.01,0.0,240.7,50.01,0.0,245.2,50.01,26645.423,801.768,7162.461,10690.240
2017-7-2 5:9:53,21.0,116.6,115.7,0.0,0.0,26631.6,6416,0,Fault,0.00,25,24,20.0,0.0,238.8,50.00,0.0,239.3,50.00,0.0,242.6,50.00,26551.705,798.948,7137.269,10652.640
2017-7-2 5:14:53,24.0,138.9,138.1,0.0,0.0,26631.6,6416,0,Fault,0.00,31,30,23.0,0.0,238.7,50.00,0.0,239.3,50.00,0.0,242.5,50.00,26551.705,798.948,7137.269,10652.640
2017-7-2 5:20:0,26.0,489.1,488.3,0.0,0.0,26631.6,6416,0,Fault,0.00,103,83,24.0,0.0,238.7,49.98,0.0,239.0,49.98,0.0,242.3,49.98,26551.705,798.948,7137.269,10652.640
2017-7-2 5:25:0,27.0,507.3,506.5,0.0,0.0,26631.6,6416,0,Fault,0.00,107,86,25.0,0.0,238.9,49.98,0.0,239.2,49.98,0.0,242.7,49.98,26551.705,798.948,7137.269,10652.640
2017-7-2 5:30:0,27.0,534.9,534.0,0.0,0.0,26631.6,6416,0,Fault,0.00,114,87,25.0,0.0,239.6,50.02,0.0,240.1,50.02,0.0,243.4,50.02,26551.705,798.948,7137.269,10652.640
2017-7-2 5:35:0,28.0,572.0,561.6,0.0,0.0,26631.6,6416,0,Wait,0.00,125,88,25.0,0.0,239.8,50.00,0.0,240.3,50.00,0.0,243.8,50.00,26551.705,798.948,7137.269,10652.640
2017-7-2 5:40:0,28.0,571.8,509.2,0.2,0.2,26631.6,6416,204,Normal,0.00,141,122,35.0,1.1,238.7,50.00,0.9,239.0,50.00,0.9,242.4,50.00,26551.705,798.948,7137.269,10652.640
2017-7-2 5:45:0,28.0,538.8,487.1,0.2,0.2,26631.6,6416,238,Normal,0.00,160,137,36.0,1.0,238.5,50.01,0.9,238.9,50.01,0.9,242.2,50.01,26551.705,798.948,7137.269,10652.640
2017-7-2 5:50:0,28.0,531.8,502.3,0.2,0.2,26631.6,6416,229,Normal,0.00,155,133,36.0,1.0,238.4,50.01,0.9,238.7,50.01,0.9,241.8,50.01,26551.705,798.948,7137.269,10652.640
2017-7-2 5:55:0,29.0,553.8,493.2,0.2,0.2,26631.6,6416,250,Normal,0.00,166,143,37.0,1.0,238.6,50.00,0.9,238.7,50.00,0.8,242.0,50.00,26551.705,798.948,7137.269,10652.640
2017-7-2 6:0:0,29.0,511.8,532.3,0.3,0.3,26631.6,6416,314,Normal,0.00,197,177,39.0,1.0,238.0,50.00,0.9,238.1,50.00,0.8,241.6,50.00,26551.705,798.948,7137.269,10652.640
2017-7-2 6:5:0,29.0,559.7,519.3,0.4,0.3,26631.7,6416,375,Normal,0.10,231,204,39.0,1.1,237.4,49.99,0.9,237.8,49.99,0.9,240.9,49.99,26551.805,798.951,7137.296,10652.680
2017-7-2 6:10:0,29.0,553.8,540.2,0.4,0.4,26631.7,6417,433,Normal,0.10,261,231,40.0,1.0,236.6,49.99,1.0,237.6,49.99,0.9,239.9,49.99,26551.805,798.951,7137.296,10652.680
2017-7-2 6:15:0,30.0,564.0,543.3,0.6,0.6,26631.8,6417,631,Normal,0.20,362,328,41.0,1.1,236.4,50.00,1.1,237.3,50.00,1.0,239.4,50.00,26551.905,798.954,7137.322,10652.720
2017-7-2 6:20:0,30.0,567.1,535.3,0.5,0.5,26631.8,6417,551,Normal,0.20,322,288,41.0,1.0,236.7,49.97,1.0,237.2,49.97,0.9,239.9,49.97,26551.905,798.954,7137.322,10652.720
2017-7-2 6:25:0,30.0,579.5,493.4,0.4,0.4,26631.8,6417,400,Normal,0.20,244,215,41.0,1.0,237.2,50.00,0.9,237.6,50.00,0.9,240.9,50.00,26551.905,798.954,7137.322,10652.720
2017-7-2 6:30:0,30.0,541.9,504.3,0.3,0.3,26631.9,6417,328,Normal,0.30,207,180,41.0,1.0,237.3,50.00,0.9,237.6,50.00,0.9,241.3,50.00,26552.004,798.957,7137.349,10652.760
2017-7-2 6:35:0,30.0,569.7,504.2,0.3,0.3,26631.9,6417,352,Normal,0.30,219,192,41.0,1.1,237.1,49.97,0.9,237.2,49.97,0.9,240.7,49.97,26552.004,798.957,7137.349,10652.760
2017-7-2 6:40:0,31.0,552.7,542.2,0.4,0.4,26631.9,6417,456,Normal,0.30,273,243,42.0,1.0,236.5,49.96,1.0,237.0,49.96,0.9,239.5,49.96,26552.004,798.957,7137.349,10652.760
2017-7-2 6:45:0,31.0,570.2,526.7,0.5,0.5,26632.0,6417,506,Normal,0.40,299,267,42.0,1.0,237.1,50.01,1.0,237.0,50.01,0.9,240.7,50.01,26552.104,798.960,7137.376,10652.800
2017-7-2 6:50:0,31.0,576.7,517.2,0.4,0.4,26632.0,6417,481,Normal,0.40,285,256,42.0,1.0,236.6,49.97,0.9,237.2,49.97,0.9,240.6,49.97,26552.104,798.960,7137.376,10652.800
2017-7-2 6:55:0,31.0,570.0,538.3,0.4,0.4,26632.1,6417,470,Normal,0.50,279,250,42.0,1.0,236.7,49.99,0.9,237.0,49.99,0.9,240.0,49.99,26552.204,798.963,7137.403,10652.840
2017-7-2 7:0:0,31.0,573.7,533.1,0.5,0.5,26632.1,6417,594,Normal,0.50,344,310,43.0,1.1,237.1,49.97,1.0,237.7,49.97,1.0,240.2,49.97,26552.204,798.963,7137.403,10652.840
2017-7-2 7:5:0,31.0,574.7,530.2,0.5,0.5,26632.1,6417,534,Normal,0.50,312,282,43.0,1.0,237.6,49.98,0.9,238.1,49.98,0.9,240.8,49.98,26552.204,798.963,7137.403,10652.840
2017-7-2 7:10:0,31.0,598.7,567.1,0.8,0.8,26632.2,6418,957,Normal,0.60,530,487,44.0,1.4,238.3,50.01,1.4,238.3,50.01,1.3,241.8,50.01,26552.303,798.966,7137.430,10652.880
2017-7-2 7:15:1,32.0,586.0,551.4,0.8,0.8,26632.3,6418,881,Normal,0.70,491,449,44.0,1.3,238.3,49.99,1.4,238.3,49.99,1.3,242.2,49.99,26552.403,798.969,7137.456,10652.920
2017-7-2 7:20:1,32.0,566.0,540.4,0.7,0.7,26632.4,6418,743,Normal,0.80,420,383,44.0,1.2,238.4,50.00,1.2,238.4,50.00,1.1,242.4,50.00,26552.503,798.972,7137.483,10652.960
