Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2015-6-24 4:51:8,21.0,117.7,116.7,0.0,0.0,2577.3,382,0,Fault,0.00,30,24,12.0,0.0,241.7,49.99,0.0,240.1,49.99,0.0,242.4,49.99,2569.568,77.319,690.716,1030.920
2015-6-24 4:56:8,23.0,665.2,664.3,0.0,0.0,2577.3,382,0,Fault,0.00,165,118,15.0,0.0,242.0,50.00,0.0,240.3,50.00,0.0,242.8,50.00,2569.568,77.319,690.716,1030.920
2015-6-24 5:1:8,25.0,697.7,696.8,0.0,0.0,2577.3,382,0,Wait,0.00,171,124,17.0,0.0,241.6,49.99,0.0,240.4,49.99,0.0,242.8,49.99,2569.568,77.319,690.716,1030.920
2015-6-24 5:6:9,26.0,599.3,598.6,0.2,0.2,2577.3,382,252,Normal,0.00,176,136,28.0,1.0,241.1,49.99,0.8,239.9,49.99,0.8,242.0,49.99,2569.568,77.319,690.716,1030.920
2015-6-24 5:11:10,26.0,598.6,597.9,0.3,0.2,2577.3,382,263,Normal,0.00,182,141,29.0,1.1,240.6,50.00,0.8,239.5,50.00,0.8,241.6,50.00,2569.568,77.319,690.716,1030.920
2015-6-24 5:16:10,27.0,600.6,599.9,0.3,0.2,2577.3,382,284,Normal,0.00,192,151,30.0,1.1,240.9,50.00,0.9,239.8,50.00,0.8,241.8,50.00,2569.568,77.319,690.716,1030.920
2015-6-24 5:21:10,27.0,613.5,612.8,0.3,0.2,2577.3,382,321,Normal,0.00,211,169,31.0,1.1,240.6,49.99,0.8,239.3,49.99,0.8,241.6,49.99,2569.568,77.319,690.716,1030.920
2015-6-24 5:26:10,28.0,670.8,670.2,0.3,0.3,2577.4,382,396,Normal,0.10,251,204,33.0,1.0,239.7,49.98,0.8,238.7,49.98,0.8,240.9,49.98,2569.668,77.322,690.743,1030.960
2015-6-24 5:31:10,28.0,754.1,753.5,0.4,0.3,2577.4,382,503,Normal,0.10,306,256,36.0,1.1,238.7,50.01,0.9,238.1,50.01,0.8,240.4,50.01,2569.668,77.322,690.743,1030.960
2015-6-24 5:36:10,29.0,673.3,683.6,0.7,0.6,2577.5,383,911,Normal,0.20,509,462,35.0,1.2,239.3,49.99,1.3,239.0,49.99,1.2,241.1,49.99,2569.767,77.325,690.770,1031.000
2015-6-24 5:41:10,29.0,698.4,685.4,0.6,0.5,2577.5,383,772,Normal,0.20,440,392,35.0,1.1,239.3,49.98,1.1,238.6,49.98,1.1,240.7,49.98,2569.767,77.325,690.770,1031.000
2015-6-24 5:46:10,29.0,690.3,695.6,0.5,0.4,2577.6,383,616,Normal,0.30,362,314,37.0,1.0,239.0,50.00,1.0,238.4,50.00,1.0,240.7,50.00,2569.867,77.328,690.797,1031.040
2015-6-24 5:51:10,29.0,671.2,656.4,0.7,0.6,2577.6,383,845,Normal,0.30,477,427,36.0,1.1,239.6,50.00,1.2,238.6,50.00,1.1,240.8,50.00,2569.867,77.328,690.797,1031.040
2015-6-24 5:56:10,29.0,698.2,662.4,0.5,0.5,2577.7,383,717,Normal,0.40,413,363,37.0,1.0,239.1,49.98,1.0,237.8,49.98,1.0,240.5,49.98,2569.967,77.331,690.824,1031.080
