Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2015-4-11 6:32:4,27.0,200.2,190.9,0.0,0.0,634.2,117,0,Normal,103.40,8,15,26.0,0.2,242.1,49.98,0.2,239.9,49.98,0.1,243.5,49.98,632.297,19.026,169.966,253.680
2015-4-11 6:32:23,14.0,110.9,109.9,0.0,0.0,530.8,117,0,Fault,0.00,0,0,5.0,0.0,241.4,49.98,0.0,239.7,49.98,0.0,243.2,49.98,529.208,15.924,142.254,212.320
2015-4-11 6:37:23,16.0,714.7,712.8,0.0,0.0,530.8,117,0,Fault,0.00,0,0,9.0,0.0,242.2,50.00,0.0,240.4,50.00,0.0,243.9,50.00,529.208,15.924,142.254,212.320
2015-4-11 6:42:23,18.0,762.7,760.6,0.0,0.0,530.8,117,0,Wait,0.00,0,0,12.0,0.0,241.4,49.97,0.0,239.7,49.97,0.0,243.1,49.97,529.208,15.924,142.254,212.320
2015-4-11 6:47:23,18.0,575.6,604.5,0.1,0.1,530.8,117,0,Normal,0.00,103,79,27.0,0.8,242.2,49.98,0.7,240.4,49.98,0.8,243.7,49.98,529.208,15.924,142.254,212.320
2015-4-11 6:52:23,19.0,627.2,625.5,0.2,0.1,530.8,117,27,Normal,0.00,134,93,27.0,0.8,241.0,49.99,0.8,239.9,49.99,0.8,242.8,49.99,529.208,15.924,142.254,212.320
2015-4-11 6:57:23,20.0,680.4,678.7,0.2,0.1,530.8,117,22,Normal,0.00,167,111,28.0,0.8,241.1,50.00,0.8,239.5,50.00,0.8,242.8,50.00,529.208,15.924,142.254,212.320
2015-4-11 7:2:23,19.0,679.8,678.1,0.2,0.1,530.8,117,60,Normal,0.00,195,125,30.0,0.8,242.0,49.99,0.8,239.7,49.99,0.8,243.3,49.99,529.208,15.924,142.254,212.320
2015-4-11 7:7:23,20.0,722.5,746.1,0.3,0.1,530.8,117,29,Normal,0.00,226,138,32.0,0.8,242.5,49.98,0.8,239.5,49.98,0.9,243.8,49.98,529.208,15.924,142.254,212.320
2015-4-11 7:12:23,21.0,719.4,686.2,0.3,0.2,530.8,117,96,Normal,0.00,250,151,31.0,0.9,238.9,49.96,0.8,237.6,49.96,0.8,240.7,49.96,529.208,15.924,142.254,212.320
2015-4-11 7:17:23,21.0,723.0,720.8,0.3,0.2,530.8,117,137,Normal,0.00,274,165,33.0,0.9,239.7,49.97,0.8,238.5,49.97,0.8,241.4,49.97,529.208,15.924,142.254,212.320
2015-4-11 7:22:23,21.0,709.7,742.5,0.4,0.2,530.8,118,146,Normal,0.00,298,178,34.0,0.8,240.6,50.00,0.8,238.5,50.00,0.9,242.7,50.00,529.208,15.924,142.254,212.320
2015-4-11 7:27:23,21.0,757.5,735.0,0.4,0.2,530.8,118,172,Normal,0.00,319,191,33.0,0.9,238.3,50.00,0.8,236.1,50.00,0.9,240.3,50.00,529.208,15.924,142.254,212.320
2015-4-11 7:32:23,22.0,741.4,720.6,0.4,0.2,530.8,118,233,Normal,0.00,351,205,35.0,0.9,242.8,50.00,0.8,241.0,50.00,0.9,244.3,50.00,529.208,15.924,142.254,212.320
2015-4-11 7:37:23,22.0,763.9,753.4,0.5,0.3,530.8,118,286,Normal,0.00,402,232,35.0,0.9,244.1,49.99,0.8,240.9,49.99,1.0,245.6,49.99,529.208,15.924,142.254,212.320
2015-4-11 7:42:23,23.0,747.9,735.2,0.6,0.3,530.9,118,408,Normal,0.10,470,267,35.0,1.0,243.7,49.99,1.0,241.1,49.99,1.1,245.1,49.99,529.307,15.927,142.281,212.360
2015-4-11 7:47:23,23.0,758.3,759.3,0.7,0.4,530.9,118,570,Normal,0.10,586,324,35.0,1.2,241.1,49.99,1.2,239.5,49.99,1.2,242.8,49.99,529.307,15.927,142.281,212.360
2015-4-11 7:52:23,23.0,769.8,773.8,0.9,0.5,531.0,118,824,Normal,0.20,765,413,36.0,1.5,240.4,50.00,1.5,239.5,50.00,1.5,242.7,50.00,529.407,15.930,142.308,212.400
2015-4-11 7:57:23,23.0,764.4,769.0,1.0,0.5,531.0,118,941,Normal,0.20,836,450,36.0,1.6,244.0,49.99,1.4,240.6,49.99,1.6,245.7,49.99,529.407,15.930,142.308,212.400
2015-4-11 8:2:23,23.0,764.9,750.9,1.2,0.6,531.1,118,1069,Normal,0.30,922,483,36.0,1.8,242.4,50.01,1.6,239.3,50.01,1.7,244.5,50.01,529.507,15.933,142.335,212.440
2015-4-11 8:7:23,23.0,768.2,762.9,1.4,0.7,531.2,118,1313,Normal,0.40,1087,562,36.0,2.1,240.7,49.98,1.9,238.1,49.98,2.0,242.7,49.98,529.606,15.936,142.362,212.480
2015-4-11 8:12:23,24.0,767.6,774.0,1.6,0.8,531.3,118,1570,Normal,0.50,1258,651,37.0,2.3,240.8,49.98,2.3,238.9,49.98,2.3,243.1,49.98,529.706,15.939,142.388,212.520
2015-4-11 8:17:23,24.0,774.3,749.2,1.8,0.9,531.5,118,1845,Normal,0.70,1432,738,37.0,2.8,241.7,49.99,2.5,238.3,49.99,2.6,243.3,49.99,529.905,15.945,142.442,212.600
2015-4-11 8:22:23,24.0,777.7,761.6,2.0,1.0,531.6,119,2109,Normal,0.80,1601,828,37.0,3.0,240.7,50.01,3.0,239.2,50.01,3.0,242.6,50.01,530.005,15.948,142.469,212.640
2015-4-11 8:27:23,24.0,780.9,767.5,2.2,1.2,531.8,119,2394,Normal,1.00,1791,921,38.0,3.3,240.7,49.99,3.4,239.8,49.99,3.4,242.8,49.99,530.205,15.954,142.522,212.720
2015-4-11 8:32:23,24.0,778.9,756.6,2.5,1.3,532.0,119,2680,Normal,1.20,1978,1012,38.0,3.8,242.7,50.00,3.7,241.0,50.00,3.7,245.1,50.00,530.404,15.960,142.576,212.800
2015-4-11 8:37:23,25.0,779.7,771.4,2.7,1.4,532.3,119,2984,Normal,1.50,2167,1105,38.0,4.2,245.0,49.98,4.0,241.9,49.98,4.1,246.8,49.98,530.703,15.969,142.656,212.920
