Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2015-10-29 7:15:47,17.0,158.8,158.4,0.0,0.0,1283.3,298,0,Fault,0.00,32,30,13.0,0.0,241.8,49.99,0.0,241.0,49.99,0.0,244.1,49.99,1279.450,38.499,343.924,513.320
2015-10-29 7:20:47,19.0,591.6,591.0,0.0,0.0,1283.3,298,0,Fault,0.00,111,78,15.0,0.0,239.3,49.96,0.0,238.2,49.96,0.0,241.6,49.96,1279.450,38.499,343.924,513.320
2015-10-29 7:25:47,20.0,590.6,547.6,0.2,0.1,1283.3,298,171,Normal,0.00,127,103,28.0,1.1,238.3,49.97,0.8,237.2,49.97,0.9,240.6,49.97,1279.450,38.499,343.924,513.320
2015-10-29 7:30:47,21.0,565.1,577.7,0.2,0.2,1283.3,298,220,Normal,0.00,158,121,28.0,1.1,237.9,49.99,0.8,237.4,49.99,0.9,239.9,49.99,1279.450,38.499,343.924,513.320
2015-10-29 7:35:47,22.0,596.7,533.7,0.3,0.2,1283.3,298,265,Normal,0.00,184,140,31.0,1.0,237.4,49.99,0.8,236.4,49.99,0.8,239.8,49.99,1279.450,38.499,343.924,513.320
2015-10-29 7:40:47,22.0,613.9,526.7,0.3,0.2,1283.3,298,307,Normal,0.00,213,154,31.0,1.0,236.7,49.98,0.9,235.6,49.98,0.8,239.1,49.98,1279.450,38.499,343.924,513.320
2015-10-29 7:45:47,22.0,615.0,555.0,0.3,0.3,1283.3,298,353,Normal,0.00,242,171,32.0,1.0,240.2,49.98,0.9,239.3,49.98,0.9,242.6,49.98,1279.450,38.499,343.924,513.320
2015-10-29 7:50:47,22.0,645.4,569.1,0.4,0.3,1283.4,298,407,Normal,0.10,277,189,33.0,1.0,239.8,49.98,0.9,239.5,49.98,0.9,242.3,49.98,1279.550,38.502,343.951,513.360
2015-10-29 7:55:47,23.0,642.7,611.4,0.4,0.3,1283.4,298,463,Normal,0.10,317,206,34.0,1.0,239.8,50.00,1.0,239.4,50.00,1.0,241.9,50.00,1279.550,38.502,343.951,513.360
2015-10-29 8:0:47,23.0,647.4,596.6,0.5,0.3,1283.5,298,515,Normal,0.20,350,224,35.0,1.0,240.4,50.02,1.0,239.1,50.02,1.0,242.6,50.02,1279.650,38.505,343.978,513.400
2015-10-29 8:5:47,23.0,664.5,623.6,0.6,0.3,1283.5,299,622,Normal,0.20,442,240,35.0,1.1,239.9,50.00,1.1,238.6,50.00,1.0,242.4,50.00,1279.650,38.505,343.978,513.400
