Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2015-5-28 5:6:36,18.0,119.1,118.1,0.0,0.0,5019.7,838,0,Fault,0.00,30,25,6.0,0.0,240.0,50.02,0.0,239.1,50.02,0.0,241.0,50.02,5004.641,150.591,1345.280,2007.880
2015-5-28 5:11:36,20.0,144.6,143.7,0.0,0.0,5019.7,838,0,Fault,0.00,38,31,11.0,0.0,239.9,49.99,0.0,238.9,49.99,0.0,240.7,49.99,5004.641,150.591,1345.280,2007.880
2015-5-28 5:16:36,22.0,700.9,699.9,0.0,0.0,5019.7,838,0,Fault,0.00,173,124,13.0,0.0,240.2,50.00,0.0,238.7,50.00,0.0,240.6,50.00,5004.641,150.591,1345.280,2007.880
2015-5-28 5:21:36,23.0,579.4,584.6,0.3,0.2,5019.7,838,264,Normal,0.00,182,142,26.0,1.0,239.6,50.02,0.8,238.5,50.02,0.8,240.4,50.02,5004.641,150.591,1345.280,2007.880
2015-5-28 5:26:36,23.0,597.8,597.0,0.3,0.2,5019.7,838,289,Normal,0.00,195,154,27.0,1.0,239.7,50.01,0.8,239.0,50.01,0.8,240.6,50.01,5004.641,150.591,1345.280,2007.880
2015-5-28 5:31:36,24.0,612.9,612.2,0.3,0.2,5019.7,839,320,Normal,0.00,211,168,29.0,1.0,238.9,50.02,0.8,238.4,50.02,0.8,240.3,50.02,5004.641,150.591,1345.280,2007.880
2015-5-28 5:36:36,24.0,663.7,663.0,0.3,0.3,5019.7,839,388,Normal,0.00,248,200,31.0,1.0,238.4,50.01,0.7,238.0,50.01,0.8,240.0,50.01,5004.641,150.591,1345.280,2007.880
2015-5-28 5:41:36,25.0,693.4,692.7,0.3,0.3,5019.8,839,426,Normal,0.10,267,218,32.0,1.0,237.9,50.00,0.8,237.4,50.00,0.8,239.6,50.00,5004.741,150.594,1345.306,2007.920
2015-5-28 5:46:36,25.0,728.0,727.3,0.3,0.3,5019.8,839,470,Normal,0.10,291,239,33.0,0.9,237.4,50.00,0.7,237.0,50.00,0.7,239.3,50.00,5004.741,150.594,1345.306,2007.920
2015-5-28 5:51:36,25.0,706.1,681.8,0.4,0.4,5019.8,839,557,Normal,0.10,332,284,33.0,0.9,238.1,50.01,0.8,237.3,50.01,0.9,239.7,50.01,5004.741,150.594,1345.306,2007.920
2015-5-28 5:56:36,25.0,673.5,702.2,0.5,0.4,5019.9,839,585,Normal,0.20,347,297,34.0,0.9,237.5,50.03,0.8,237.1,50.03,0.9,239.2,50.03,5004.840,150.597,1345.333,2007.960
2015-5-28 6:1:36,25.0,680.4,714.3,0.5,0.4,5019.9,839,696,Normal,0.20,403,353,34.0,1.0,236.9,49.96,0.9,236.2,49.96,1.0,238.4,49.96,5004.840,150.597,1345.333,2007.960
2015-5-28 6:6:36,26.0,696.5,715.1,0.6,0.5,5020.0,839,811,Normal,0.30,461,409,35.0,1.1,240.4,49.95,1.0,239.5,49.95,1.0,242.2,49.95,5004.940,150.600,1345.360,2008.000
