Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2017-5-9 5:32:17,15.0,119.9,119.0,0.0,0.0,26249.8,5568,0,Fault,0.00,31,25,5.0,0.0,241.6,49.98,0.0,241.4,49.98,0.0,243.0,49.98,26171.051,787.494,7034.946,10499.920
2017-5-9 5:37:17,18.0,721.5,720.5,0.0,0.0,26249.8,5568,0,Fault,0.00,181,126,10.0,0.0,241.8,49.96,0.0,241.5,49.96,0.0,243.1,49.96,26171.051,787.494,7034.946,10499.920
2017-5-9 5:42:17,19.0,741.6,740.6,0.0,0.0,26249.8,5568,0,Wait,0.00,186,128,12.0,0.0,241.9,50.00,0.0,241.7,50.00,0.0,243.1,50.00,26171.051,787.494,7034.946,10499.920
2017-5-9 5:47:18,21.0,602.3,590.5,0.3,0.2,26249.8,5569,280,Normal,0.00,193,146,26.0,1.0,240.9,49.99,0.9,240.6,49.99,0.9,242.2,49.99,26171.051,787.494,7034.946,10499.920
2017-5-9 5:52:18,21.0,620.1,615.9,0.3,0.2,26249.8,5569,325,Normal,0.00,216,168,28.0,1.1,240.4,50.02,1.0,240.3,50.02,1.0,241.8,50.02,26171.051,787.494,7034.946,10499.920
2017-5-9 5:57:18,22.0,658.4,656.1,0.3,0.2,26249.8,5569,376,Normal,0.00,244,192,29.0,1.1,239.7,50.02,1.0,239.9,50.02,1.0,241.3,50.02,26171.051,787.494,7034.946,10499.920
2017-5-9 6:7:19,22.0,782.8,782.0,0.4,0.3,26249.9,5569,532,Normal,0.10,326,265,34.0,1.1,237.6,50.02,1.1,238.1,50.02,1.1,239.7,50.02,26171.150,787.497,7034.973,10499.960
2017-5-9 6:12:19,23.0,713.4,726.9,0.5,0.4,26249.9,5569,618,Normal,0.10,367,310,34.0,0.9,238.3,49.99,1.1,238.4,49.99,1.2,240.2,49.99,26171.150,787.497,7034.973,10499.960
2017-5-9 6:17:19,23.0,745.7,732.0,0.6,0.5,26250.0,5569,879,Normal,0.20,500,439,34.0,1.2,239.8,49.99,1.4,240.1,49.99,1.4,241.9,49.99,26171.250,787.500,7035.000,10500.000
2017-5-9 6:22:19,23.0,745.8,730.0,0.7,0.6,26250.1,5569,982,Normal,0.30,552,490,34.0,1.3,240.2,49.97,1.6,239.9,49.97,1.5,242.2,49.97,26171.350,787.503,7035.027,10500.040
2017-5-9 6:32:19,24.0,779.1,751.0,1.0,1.0,26250.3,5569,1509,Normal,0.50,815,754,34.0,1.8,239.2,49.97,2.1,239.3,49.97,1.9,240.9,49.97,26171.549,787.509,7035.080,10500.120
2017-5-9 6:37:19,24.0,769.0,744.0,1.1,1.1,26250.4,5569,1674,Normal,0.60,899,834,34.0,2.0,239.0,50.02,2.3,239.2,50.02,2.1,241.2,50.02,26171.649,787.512,7035.107,10500.160
2017-5-9 6:42:20,24.0,770.0,758.1,1.2,1.2,26250.6,5569,1893,Normal,0.80,1004,949,35.0,2.2,238.6,50.00,2.5,239.0,50.00,2.4,241.0,50.00,26171.848,787.518,7035.161,10500.240
2017-5-9 6:47:20,25.0,774.0,762.1,1.3,1.2,26250.7,5570,1911,Normal,0.90,1016,955,36.0,2.2,238.5,50.01,2.5,238.9,50.01,2.3,241.3,50.01,26171.948,787.521,7035.188,10500.280
2017-5-9 6:52:20,25.0,767.4,749.1,1.2,1.2,26250.9,5570,1823,Normal,1.10,971,912,37.0,2.1,238.2,50.02,2.4,238.5,50.02,2.3,240.6,50.02,26172.147,787.527,7035.241,10500.360
2017-5-9 7:2:20,25.0,751.3,763.9,1.2,1.1,26251.2,5570,1777,Normal,1.40,947,889,37.0,1.9,236.3,50.00,2.2,235.8,50.00,2.1,237.9,50.00,26172.446,787.536,7035.322,10500.480
2017-5-9 7:7:21,25.0,747.3,755.9,1.1,1.0,26251.3,5570,1654,Normal,1.50,886,827,38.0,1.8,240.1,50.00,2.2,239.9,50.00,2.1,241.7,50.00,26172.546,787.539,7035.348,10500.520
2017-5-9 7:22:21,26.0,768.3,779.0,1.3,1.2,26251.8,5570,1920,Normal,2.00,1020,959,38.0,2.0,240.1,50.00,2.5,239.9,50.00,2.5,242.2,50.00,26173.045,787.554,7035.482,10500.720
2017-5-9 7:27:21,26.0,756.8,751.1,1.1,1.0,26251.9,5570,1623,Normal,2.10,873,809,39.0,1.8,240.8,49.98,2.2,239.9,49.98,2.1,242.5,49.98,26173.144,787.557,7035.509,10500.760
2017-5-9 7:32:21,26.0,740.2,758.4,1.1,1.0,26252.1,5570,1550,Normal,2.30,835,775,39.0,1.7,238.0,50.01,2.2,236.7,50.01,2.1,239.9,50.01,26173.344,787.563,7035.563,10500.840
2017-5-9 7:37:21,26.0,733.3,739.7,1.1,1.0,26252.2,5570,1518,Normal,2.40,818,760,39.0,1.7,236.6,49.99,2.2,236.0,49.99,2.0,238.7,49.99,26173.443,787.566,7035.590,10500.880
2017-5-9 7:42:21,26.0,781.3,790.1,1.6,1.5,26252.4,5570,2538,Normal,2.60,1331,1266,39.0,2.8,236.3,49.98,3.3,236.2,49.98,3.2,238.3,49.98,26173.643,787.572,7035.643,10500.960
2017-5-9 7:47:21,27.0,796.1,789.0,1.9,1.9,26252.6,5571,3039,Normal,2.80,1581,1518,40.0,3.3,240.7,49.97,3.9,239.3,49.97,3.8,242.7,49.97,26173.842,787.578,7035.697,10501.040
2017-5-9 7:52:21,27.0,783.3,798.3,2.2,2.1,26252.9,5571,3418,Normal,3.10,1770,1708,41.0,3.9,240.8,49.99,4.4,239.6,49.99,4.3,242.2,49.99,26174.141,787.587,7035.777,10501.160
2017-5-9 7:57:21,27.0,783.2,791.1,2.6,2.5,26253.2,5571,4021,Normal,3.40,2067,2014,41.0,4.7,240.3,50.00,5.2,240.0,50.00,5.1,241.9,50.00,26174.440,787.596,7035.858,10501.280
2017-5-9 8:2:22,27.0,785.2,796.2,2.9,2.8,26253.5,5571,4588,Normal,3.70,2358,2289,42.0,5.5,239.1,49.99,6.0,238.6,49.99,5.8,241.5,49.99,26174.740,787.605,7035.938,10501.400
2017-5-9 8:7:22,27.0,789.2,775.0,4.0,4.0,26253.9,5571,6221,Normal,4.10,3220,3140,43.0,7.9,237.4,49.98,8.4,237.4,49.98,8.1,239.8,49.98,26175.138,787.617,7036.045,10501.560
2017-5-9 8:17:22,28.0,783.4,774.1,2.9,2.8,26254.8,5571,4475,Normal,5.00,2310,2225,44.0,5.4,237.9,50.00,5.8,237.6,50.00,5.7,239.8,50.00,26176.036,787.644,7036.286,10501.920
2017-5-9 8:22:22,28.0,760.5,771.0,2.4,2.3,26255.2,5571,3645,Normal,5.40,1889,1816,45.0,4.2,240.3,49.98,4.8,238.7,49.98,4.7,241.4,49.98,26176.434,787.656,7036.394,10502.080
2017-5-9 8:27:22,28.0,768.6,757.2,2.4,2.4,26255.5,5571,3721,Normal,5.70,1926,1855,45.0,4.4,239.9,49.98,4.9,238.9,49.98,4.7,241.8,49.98,26176.733,787.665,7036.474,10502.200
2017-5-9 8:32:22,28.0,756.5,768.1,2.4,2.3,26255.8,5571,3568,Normal,6.00,1842,1785,45.0,4.2,239.5,49.96,4.6,238.4,49.96,4.5,241.0,49.96,26177.033,787.674,7036.554,10502.320
2017-5-9 8:37:22,28.0,744.5,751.9,1.8,1.7,26256.1,5571,2663,Normal,6.30,1391,1331,45.0,3.1,239.9,50.00,3.5,238.4,50.00,3.4,241.3,50.00,26177.332,787.683,7036.635,10502.440
