Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2015-11-12 8:8:7,0.0,115.0,114.6,0.0,0.0,129.1,95,0,Fault,0.00,22,19,0.0,0.0,239.1,49.99,0.0,238.3,49.99,0.0,241.1,49.99,128.713,3.873,34.599,51.640
2015-11-12 8:8:26,15.0,114.8,114.5,0.0,0.0,129.1,95,0,Fault,0.00,22,20,9.0,0.0,238.9,49.99,0.0,238.3,49.99,0.0,241.1,49.99,128.713,3.873,34.599,51.640
2015-11-12 8:13:26,17.0,567.3,566.7,0.0,0.0,129.1,95,0,Fault,0.00,111,73,13.0,0.0,239.5,49.99,0.0,238.8,49.99,0.0,241.8,49.99,128.713,3.873,34.599,51.640
2015-11-12 8:18:26,20.0,605.0,590.4,0.0,0.0,129.1,95,0,Check,0.00,121,73,15.0,0.0,238.9,49.98,0.0,238.2,49.98,0.0,240.9,49.98,128.713,3.873,34.599,51.640
2015-11-12 8:23:26,20.0,549.0,482.7,0.2,0.2,129.1,95,186,Normal,0.00,134,112,28.0,1.1,238.0,49.98,0.8,237.2,49.98,0.9,239.9,49.98,128.713,3.873,34.599,51.640
2015-11-12 8:28:26,21.0,519.0,486.7,0.2,0.1,129.1,95,152,Normal,0.00,116,95,28.0,1.0,237.9,49.99,0.8,236.8,49.99,0.8,239.9,49.99,128.713,3.873,34.599,51.640
2015-11-12 8:33:26,22.0,512.0,532.6,0.2,0.2,129.1,95,179,Normal,0.00,131,107,28.0,1.0,238.1,49.97,0.8,237.0,49.97,0.8,240.0,49.97,128.713,3.873,34.599,51.640
2015-11-12 8:38:26,22.0,535.1,470.6,0.2,0.2,129.1,95,151,Normal,0.00,116,95,30.0,1.1,237.3,49.99,0.8,236.6,49.99,0.9,239.5,49.99,128.713,3.873,34.599,51.640
2015-11-12 8:43:26,22.0,531.0,496.7,0.2,0.2,129.1,95,194,Normal,0.00,137,116,30.0,1.0,237.2,49.96,0.8,236.5,49.96,0.9,239.6,49.96,128.713,3.873,34.599,51.640
2015-11-12 8:48:26,22.0,542.0,523.6,0.3,0.3,129.1,96,329,Normal,0.00,207,182,32.0,1.0,236.4,49.97,0.8,236.5,49.97,0.8,238.9,49.97,128.713,3.873,34.599,51.640
2015-11-12 8:53:26,22.0,550.1,509.7,0.3,0.3,129.2,96,342,Normal,0.10,214,187,33.0,1.0,236.6,49.96,0.8,236.4,49.96,0.8,238.7,49.96,128.812,3.876,34.626,51.680
2015-11-12 8:58:26,23.0,561.0,545.5,0.4,0.4,129.2,96,410,Normal,0.10,249,221,33.0,1.0,236.2,49.99,0.9,236.0,49.99,0.9,238.3,49.99,128.812,3.876,34.626,51.680
2015-11-12 9:3:26,23.0,578.1,545.7,0.5,0.5,129.2,96,537,Normal,0.10,315,282,34.0,1.1,237.7,50.00,1.0,237.2,50.00,1.0,239.8,50.00,128.812,3.876,34.626,51.680
2015-11-12 9:8:26,24.0,573.0,526.6,0.4,0.4,129.3,96,420,Normal,0.20,255,225,33.0,1.0,238.2,50.00,0.9,237.3,50.00,0.9,240.6,50.00,128.912,3.879,34.652,51.720
2015-11-12 9:13:26,24.0,565.0,508.7,0.3,0.3,129.3,96,303,Normal,0.20,194,169,33.0,1.0,237.5,49.99,0.8,236.9,49.99,0.8,240.1,49.99,128.912,3.879,34.652,51.720
2015-11-12 9:18:26,23.0,552.1,505.6,0.3,0.3,129.3,96,287,Normal,0.20,186,161,34.0,1.0,237.8,50.01,0.8,237.4,50.01,0.8,240.6,50.01,128.912,3.879,34.652,51.720
2015-11-12 9:23:26,24.0,537.0,522.6,0.3,0.3,129.4,96,339,Normal,0.30,211,187,34.0,1.0,237.7,50.01,0.8,237.0,50.01,0.8,240.6,50.01,129.012,3.882,34.679,51.760
2015-11-12 9:28:26,24.0,531.0,565.6,0.5,0.4,129.4,96,483,Normal,0.30,286,257,36.0,1.0,237.4,49.99,0.9,237.0,49.99,0.9,240.2,49.99,129.012,3.882,34.679,51.760
2015-11-12 9:33:26,24.0,558.1,525.6,0.6,0.5,129.4,96,604,Normal,0.30,348,315,37.0,1.1,237.7,50.00,1.0,237.0,50.00,0.9,240.9,50.00,129.012,3.882,34.679,51.760
2015-11-12 9:38:26,24.0,582.9,550.6,0.5,0.5,129.5,96,592,Normal,0.40,343,309,36.0,1.1,238.0,49.99,1.0,237.1,49.99,1.0,240.9,49.99,129.112,3.885,34.706,51.800
2015-11-12 9:43:26,25.0,565.0,512.6,0.4,0.4,129.5,96,398,Normal,0.40,243,215,36.0,1.0,237.6,50.01,0.8,237.0,50.01,0.8,240.7,50.01,129.112,3.885,34.706,51.800
2015-11-12 9:48:26,25.0,573.9,540.5,0.4,0.4,129.6,97,447,Normal,0.50,268,239,36.0,1.0,237.2,49.98,0.9,236.6,49.98,0.9,239.8,49.98,129.211,3.888,34.733,51.840
2015-11-12 9:53:26,25.0,566.1,541.6,0.4,0.4,129.6,97,424,Normal,0.50,256,228,36.0,1.0,237.3,50.00,0.9,236.7,50.00,0.9,240.7,50.00,129.211,3.888,34.733,51.840
2015-11-12 9:58:26,25.0,576.0,562.6,0.5,0.4,129.6,97,488,Normal,0.50,291,257,36.0,1.0,237.2,49.99,0.9,237.0,49.99,0.9,239.9,49.99,129.211,3.888,34.733,51.840
2015-11-12 10:3:26,25.0,575.9,552.5,0.6,0.6,129.7,97,652,Normal,0.60,372,339,37.0,1.2,238.0,49.99,1.1,237.1,49.99,1.0,240.8,49.99,129.311,3.891,34.760,51.880
2015-11-12 10:8:26,25.0,570.0,534.6,0.4,0.4,129.7,97,410,Normal,0.60,248,221,36.0,1.0,238.3,49.97,0.9,237.4,49.97,0.9,241.2,49.97,129.311,3.891,34.760,51.880
2015-11-12 10:13:26,25.0,547.9,529.9,0.4,0.3,129.8,97,388,Normal,0.70,237,211,36.0,1.0,237.9,49.95,0.9,237.4,49.95,0.9,241.0,49.95,129.411,3.894,34.786,51.920
2015-11-12 10:18:26,25.0,580.1,527.7,0.5,0.5,129.8,97,514,Normal,0.70,302,271,38.0,1.0,237.8,49.96,1.0,237.1,49.96,0.9,240.6,49.96,129.411,3.894,34.786,51.920
2015-11-12 10:23:26,26.0,527.0,534.7,0.4,0.4,129.8,97,431,Normal,0.70,256,234,36.0,1.0,236.7,49.95,0.9,236.7,49.95,0.9,239.8,49.95,129.411,3.894,34.786,51.920
2015-11-12 10:28:26,26.0,579.1,538.6,0.5,0.5,129.9,97,571,Normal,0.80,332,299,37.0,1.1,237.3,49.98,1.0,237.0,49.98,0.9,239.7,49.98,129.510,3.897,34.813,51.960
2015-11-12 10:33:26,26.0,575.1,540.6,0.6,0.5,129.9,97,625,Normal,0.80,359,325,39.0,1.2,237.6,50.00,1.1,237.0,50.00,1.0,240.9,50.00,129.510,3.897,34.813,51.960
2015-11-12 10:38:26,26.0,538.0,540.7,0.4,0.3,130.0,97,368,Normal,0.90,226,201,38.0,0.9,237.0,50.01,0.8,236.6,50.01,0.8,239.8,50.01,129.610,3.900,34.840,52.000
2015-11-12 10:40:50,26.0,507.2,467.8,0.4,0.3,130.0,97,324,Normal,0.90,204,179,37.0,1.0,237.1,50.01,0.8,236.6,50.01,0.8,240.0,50.01,129.610,3.900,34.840,52.000
2015-11-12 10:45:51,26.0,564.1,538.7,0.5,0.5,130.0,97,538,Normal,0.90,314,283,38.0,1.0,238.1,49.99,1.0,237.2,49.99,0.9,241.3,49.99,129.610,3.900,34.840,52.000
2015-11-12 10:50:51,26.0,587.1,527.7,0.5,0.5,130.1,98,557,Normal,1.00,324,292,39.0,1.1,237.6,50.00,1.0,237.0,50.00,1.0,240.7,50.00,129.710,3.903,34.867,52.040
