Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2015-10-27 7:15:27,19.0,158.7,157.6,0.0,0.0,1081.5,277,0,Fault,0.00,0,0,14.0,0.0,239.5,49.99,0.0,238.2,49.99,0.0,241.3,49.99,1078.256,32.445,289.842,432.600
2015-10-27 7:20:27,21.0,755.2,753.1,0.0,0.0,1081.5,277,0,Fault,0.00,0,0,15.0,0.0,239.5,49.99,0.0,238.3,49.99,0.0,241.2,49.99,1078.256,32.445,289.842,432.600
2015-10-27 7:25:28,21.0,607.4,598.8,0.1,0.1,1081.5,277,0,Normal,0.00,88,83,27.0,0.8,242.7,50.00,0.7,241.4,50.00,0.8,244.2,50.00,1078.256,32.445,289.842,432.600
2015-10-27 7:30:29,22.0,622.9,621.2,0.1,0.1,1081.5,277,22,Normal,0.00,118,98,28.0,0.8,243.2,49.99,0.8,240.9,49.99,0.8,244.7,49.99,1078.256,32.445,289.842,432.600
2015-10-27 7:35:30,22.0,659.6,657.8,0.2,0.1,1081.5,277,36,Normal,0.00,151,116,29.0,0.9,242.0,50.00,0.8,240.9,50.00,0.8,243.6,50.00,1078.256,32.445,289.842,432.600
2015-10-27 7:40:31,23.0,704.2,698.8,0.2,0.1,1081.5,277,51,Normal,0.00,192,138,32.0,0.8,245.0,49.99,0.8,242.0,49.99,0.9,246.9,49.99,1078.256,32.445,289.842,432.600
2015-10-27 7:45:31,23.0,703.4,742.4,0.3,0.2,1081.5,277,46,Normal,0.00,222,154,34.0,0.8,241.7,49.99,0.8,238.9,49.99,0.9,243.5,49.99,1078.256,32.445,289.842,432.600
2015-10-27 7:50:31,23.0,742.8,718.7,0.3,0.2,1081.5,278,61,Normal,0.00,227,157,34.0,0.9,239.5,50.01,0.8,237.4,50.01,0.8,241.1,50.01,1078.256,32.445,289.842,432.600
2015-10-27 7:55:31,24.0,783.5,608.7,0.5,0.3,1081.5,278,275,Normal,0.00,410,217,35.0,0.9,239.9,50.01,0.9,238.9,50.01,0.9,241.3,50.01,1078.256,32.445,289.842,432.600
2015-10-27 8:0:31,24.0,613.6,761.1,0.6,0.3,1081.5,278,292,Normal,0.00,381,258,34.0,0.9,239.3,49.99,0.9,237.4,49.99,0.9,240.4,49.99,1078.256,32.445,289.842,432.600
