Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2016-3-14 6:57:49,23.0,199.8,198.1,0.0,0.0,1173.0,413,0,Fault,102.60,42,30,22.0,0.0,238.5,50.00,0.0,237.3,50.00,0.0,239.2,50.00,1169.481,35.190,314.364,469.200
2016-3-14 6:58:8,8.0,120.0,119.0,0.0,0.0,1070.4,413,0,Fault,0.00,31,25,-7.0,0.0,239.3,49.98,0.0,238.0,49.98,0.0,240.0,49.98,1067.189,32.112,286.867,428.160
2016-3-14 7:3:8,11.0,140.9,139.9,0.0,0.0,1070.4,413,0,Fault,0.00,38,30,-2.0,0.0,241.3,49.99,0.0,240.0,49.99,0.0,241.7,49.99,1067.189,32.112,286.867,428.160
2016-3-14 7:8:8,12.0,720.9,719.8,0.0,0.0,1070.4,413,0,Fault,0.00,181,129,1.0,0.0,240.5,50.02,0.0,239.4,50.02,0.0,241.2,50.02,1067.189,32.112,286.867,428.160
2016-3-14 7:13:8,13.0,739.4,738.4,0.0,0.0,1070.4,413,0,Wait,0.00,186,131,2.0,0.0,240.1,50.00,0.0,239.1,50.00,0.0,241.1,50.00,1067.189,32.112,286.867,428.160
2016-3-14 7:18:8,14.0,596.9,596.0,0.2,0.2,1070.4,414,254,Normal,0.00,178,135,20.0,1.1,240.1,49.98,0.8,239.2,49.98,0.8,241.1,49.98,1067.189,32.112,286.867,428.160
2016-3-14 7:23:8,14.0,595.5,594.6,0.3,0.2,1070.4,414,271,Normal,0.00,187,144,21.0,1.1,239.4,50.00,0.8,238.5,50.00,0.8,240.4,50.00,1067.189,32.112,286.867,428.160
2016-3-14 7:28:8,15.0,602.8,602.0,0.3,0.2,1070.4,414,308,Normal,0.00,206,161,22.0,1.1,239.4,50.00,0.8,238.4,50.00,0.7,240.4,50.00,1067.189,32.112,286.867,428.160
2016-3-14 7:33:8,15.0,635.7,635.0,0.3,0.2,1070.4,414,355,Normal,0.00,230,184,24.0,1.0,238.6,50.00,0.9,237.8,50.00,0.7,239.4,50.00,1067.189,32.112,286.867,428.160
2016-3-14 7:38:8,15.0,672.4,671.5,0.3,0.3,1070.5,414,400,Normal,0.10,255,204,26.0,1.0,238.4,50.01,0.9,237.5,50.01,0.8,239.4,50.01,1067.288,32.115,286.894,428.200
2016-3-14 7:43:8,16.0,733.6,720.2,0.4,0.3,1070.5,414,539,Normal,0.10,327,271,29.0,0.9,237.7,50.01,0.9,236.7,50.01,0.8,238.4,50.01,1067.288,32.115,286.894,428.200
2016-3-14 7:48:8,16.0,742.4,728.3,0.5,0.5,1070.6,414,734,Normal,0.20,425,368,29.0,1.0,236.2,50.00,1.0,236.0,50.00,1.0,238.1,50.00,1067.388,32.118,286.921,428.240
2016-3-14 7:53:8,17.0,728.2,721.3,0.6,0.6,1070.6,414,880,Normal,0.20,499,440,29.0,1.1,238.3,49.99,1.2,237.7,49.99,1.2,239.8,49.99,1067.388,32.118,286.921,428.240
2016-3-14 7:58:8,17.0,753.4,744.3,0.6,0.6,1070.7,414,912,Normal,0.30,515,456,30.0,1.1,238.0,49.98,1.1,238.2,49.98,1.1,239.6,49.98,1067.488,32.121,286.948,428.280
2016-3-14 8:3:8,17.0,734.7,746.1,0.6,0.5,1070.8,414,861,Normal,0.40,490,430,30.0,1.2,236.4,49.99,1.2,236.3,49.99,1.2,238.0,49.99,1067.588,32.124,286.974,428.320
2016-3-14 8:8:8,17.0,749.3,694.2,0.5,0.5,1070.8,414,740,Normal,0.40,430,370,30.0,1.1,237.5,49.98,1.1,237.7,49.98,1.1,238.9,49.98,1067.588,32.124,286.974,428.320
2016-3-14 8:13:8,18.0,729.7,745.0,0.5,0.5,1070.9,414,754,Normal,0.50,437,376,30.0,1.0,235.6,49.98,1.1,235.6,49.98,1.1,237.0,49.98,1067.687,32.127,287.001,428.360
2016-3-14 8:18:9,18.0,699.7,728.9,0.5,0.4,1071.0,415,652,Normal,0.60,382,329,31.0,0.9,236.4,50.01,1.0,236.2,50.01,1.0,237.5,50.01,1067.787,32.130,287.028,428.400
2016-3-14 8:23:9,18.0,706.7,734.8,0.5,0.4,1071.0,415,666,Normal,0.60,391,335,31.0,1.0,235.1,50.00,1.0,235.5,50.00,1.0,236.3,50.00,1067.787,32.130,287.028,428.400
2016-3-14 8:28:9,18.0,724.1,715.3,0.6,0.5,1071.1,415,822,Normal,0.70,470,412,31.0,1.2,234.7,50.00,1.2,235.4,50.00,1.2,236.4,50.00,1067.887,32.133,287.055,428.440
2016-3-14 8:33:9,18.0,746.7,758.1,0.8,0.7,1071.2,415,1084,Normal,0.80,603,540,31.0,1.3,235.5,50.00,1.4,235.3,50.00,1.4,237.2,50.00,1067.986,32.136,287.082,428.480
2016-3-14 8:38:9,18.0,749.3,733.3,0.8,0.7,1071.3,415,1149,Normal,0.90,634,575,31.0,1.4,235.8,50.00,1.5,236.2,50.00,1.5,237.7,50.00,1068.086,32.139,287.108,428.520
2016-3-14 8:43:9,19.0,758.7,766.1,0.7,0.6,1071.3,415,1065,Normal,0.90,594,530,32.0,1.3,237.2,50.00,1.5,236.8,50.00,1.4,239.2,50.00,1068.086,32.139,287.108,428.520
2016-3-14 8:48:9,19.0,775.5,753.2,1.0,1.0,1071.4,415,1540,Normal,1.00,827,772,32.0,1.7,236.5,49.99,2.0,236.2,49.99,1.8,238.7,49.99,1068.186,32.142,287.135,428.560
2016-3-14 8:53:9,19.0,741.7,756.0,0.9,0.8,1071.6,415,1251,Normal,1.20,685,626,32.0,1.5,236.7,50.01,1.7,236.7,50.01,1.6,238.8,50.01,1068.385,32.148,287.189,428.640
2016-3-14 8:58:9,19.0,769.4,757.3,1.0,1.0,1071.7,415,1574,Normal,1.30,846,787,32.0,1.7,237.2,49.98,2.1,236.6,49.98,1.9,239.4,49.98,1068.485,32.151,287.216,428.680
