Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2015-10-14 7:48:20,30.0,199.8,189.7,0.0,0.0,876.9,147,0,Fault,38.20,0,0,29.0,0.0,241.1,49.99,0.0,239.6,49.99,0.0,243.2,49.99,874.269,26.307,235.009,350.760
2015-10-14 7:48:39,18.0,114.7,113.7,0.0,0.0,838.7,147,0,Fault,0.00,0,0,11.0,0.0,242.4,50.00,0.0,240.7,50.00,0.0,244.1,50.00,836.184,25.161,224.772,335.480
2015-10-14 7:53:39,20.0,714.3,712.2,0.0,0.0,838.7,147,0,Fault,0.00,0,0,14.0,0.0,243.0,50.00,0.0,241.4,50.00,0.0,244.7,50.00,836.184,25.161,224.772,335.480
2015-10-14 7:58:39,22.0,748.7,746.6,0.0,0.0,838.7,147,0,Wait,0.00,0,0,16.0,0.0,243.1,49.99,0.0,241.4,49.99,0.0,244.5,49.99,836.184,25.161,224.772,335.480
2015-10-14 8:3:39,22.0,578.9,594.0,0.1,0.1,838.7,147,11,Normal,0.00,102,91,29.0,0.8,241.7,49.99,0.7,240.1,49.99,0.8,243.3,49.99,836.184,25.161,224.772,335.480
2015-10-14 8:8:39,22.0,631.1,629.4,0.2,0.1,838.7,147,29,Normal,0.00,133,108,30.0,0.8,242.6,50.01,0.7,240.7,50.01,0.8,244.4,50.01,836.184,25.161,224.772,335.480
2015-10-14 8:13:39,23.0,663.0,661.3,0.2,0.1,838.7,147,48,Normal,0.00,164,124,31.0,0.8,242.7,50.00,0.7,240.2,50.00,0.9,244.7,50.00,836.184,25.161,224.772,335.480
2015-10-14 8:18:39,24.0,714.0,718.6,0.2,0.2,838.7,147,44,Normal,0.00,199,144,33.0,0.8,240.9,49.99,0.8,239.9,49.99,0.8,242.9,49.99,836.184,25.161,224.772,335.480
2015-10-14 8:23:39,24.0,707.8,696.0,0.3,0.2,838.7,147,79,Normal,0.00,212,150,34.0,0.8,241.2,49.99,0.8,239.7,49.99,0.8,242.8,49.99,836.184,25.161,224.772,335.480
2015-10-14 8:28:39,24.0,717.8,707.4,0.3,0.2,838.7,147,85,Normal,0.00,229,159,34.0,0.9,239.6,49.98,0.8,238.8,49.98,0.8,241.6,49.98,836.184,25.161,224.772,335.480
2015-10-14 8:33:39,24.0,711.9,707.7,0.3,0.2,838.7,147,104,Normal,0.00,234,162,34.0,0.9,241.3,50.00,0.8,239.8,50.00,0.8,242.8,50.00,836.184,25.161,224.772,335.480
2015-10-14 8:38:40,25.0,719.6,742.4,0.4,0.2,838.7,147,155,Normal,0.00,292,193,36.0,0.9,239.9,50.00,0.8,239.1,50.00,0.8,241.7,50.00,836.184,25.161,224.772,335.480
2015-10-14 8:43:40,25.0,777.7,767.2,0.5,0.3,838.7,147,276,Normal,0.00,395,242,36.0,0.9,243.7,50.00,0.9,241.5,50.00,0.9,244.7,50.00,836.184,25.161,224.772,335.480
2015-10-14 8:48:40,25.0,791.6,797.8,0.5,0.3,838.7,147,329,Normal,0.00,442,268,36.0,1.0,244.5,50.00,0.8,240.2,50.00,1.1,245.7,50.00,836.184,25.161,224.772,335.480
2015-10-14 8:53:40,26.0,831.9,829.9,0.5,0.3,838.8,147,354,Normal,0.10,481,288,37.0,1.0,243.7,49.99,0.9,240.7,49.99,1.1,244.4,49.99,836.284,25.164,224.798,335.520
2015-10-14 8:58:41,26.0,839.2,837.2,0.6,0.3,838.8,148,395,Normal,0.10,513,303,38.0,1.1,244.6,50.01,1.0,242.0,50.01,1.1,245.6,50.01,836.284,25.164,224.798,335.520
2015-10-14 9:3:41,26.0,844.8,842.8,0.6,0.3,838.8,148,453,Normal,0.10,558,322,38.0,1.1,241.7,50.02,1.1,240.7,50.02,1.1,243.5,50.02,836.284,25.164,224.798,335.520
2015-10-14 9:8:41,26.0,826.6,824.6,1.0,0.4,838.9,148,902,Normal,0.20,899,409,38.0,1.6,243.6,49.98,1.5,241.3,49.98,1.5,245.0,49.98,836.383,25.167,224.825,335.560
2015-10-14 9:13:41,27.0,760.8,768.4,2.0,0.9,839.0,148,2027,Normal,0.30,1580,765,38.0,2.9,241.5,50.01,2.9,240.8,50.01,2.9,243.6,50.01,836.483,25.170,224.852,335.600
2015-10-14 9:18:41,27.0,776.9,764.9,2.5,1.3,839.2,148,2709,Normal,0.50,1982,1034,38.0,3.9,242.7,50.01,3.7,240.0,50.01,3.7,244.1,50.01,836.682,25.176,224.906,335.680
2015-10-14 9:23:41,27.0,764.1,777.3,2.8,1.4,839.4,148,2999,Normal,0.70,2178,1134,39.0,4.3,240.5,50.00,4.1,239.8,50.00,4.2,244.6,50.00,836.882,25.182,224.959,335.760
2015-10-14 9:28:41,27.0,775.9,767.4,3.0,1.6,839.7,148,3317,Normal,1.00,2369,1231,40.0,4.6,243.1,49.99,4.6,242.5,49.99,4.5,246.4,49.99,837.181,25.191,225.040,335.880
2015-10-14 9:33:41,27.0,775.1,773.1,3.3,1.7,840.0,148,3649,Normal,1.30,2583,1336,41.0,5.1,243.1,50.01,5.0,241.0,50.01,4.9,245.5,50.01,837.480,25.200,225.120,336.000
2015-10-14 9:38:41,28.0,759.5,763.4,3.6,1.8,840.3,148,3905,Normal,1.60,2761,1428,41.0,5.3,240.9,50.00,5.5,240.9,50.00,5.4,243.7,50.00,837.779,25.209,225.200,336.120
2015-10-14 9:43:41,28.0,761.7,759.7,3.9,2.0,840.6,148,4267,Normal,1.90,2972,1531,42.0,5.8,243.8,50.00,5.9,243.0,50.00,5.8,245.5,50.00,838.078,25.218,225.281,336.240
