Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2015-10-14 7:46:55,15.0,121.3,120.3,0.0,0.0,1139.2,148,0,Fault,0.00,30,25,4.0,0.0,242.0,50.01,0.0,240.6,50.01,0.0,242.4,50.01,1135.782,34.176,305.306,455.680
2015-10-14 7:51:55,18.0,723.3,722.3,0.0,0.0,1139.2,148,0,Fault,0.00,178,126,9.0,0.0,242.1,50.00,0.0,240.6,50.00,0.0,242.4,50.00,1135.782,34.176,305.306,455.680
2015-10-14 7:56:55,20.0,602.2,601.4,0.3,0.2,1139.2,148,277,Normal,0.00,190,147,25.0,1.1,242.1,50.00,0.8,241.0,50.00,0.8,242.6,50.00,1135.782,34.176,305.306,455.680
2015-10-14 8:1:55,21.0,646.0,641.4,0.3,0.2,1139.2,148,368,Normal,0.00,237,190,28.0,1.0,240.6,50.01,0.8,239.8,50.01,0.8,241.4,50.01,1135.782,34.176,305.306,455.680
2015-10-14 8:6:55,22.0,690.6,704.1,0.3,0.3,1139.2,148,435,Normal,0.00,272,222,31.0,1.0,238.6,50.00,0.8,238.5,50.00,0.8,240.0,50.00,1135.782,34.176,305.306,455.680
2015-10-14 8:11:55,22.0,686.0,701.3,0.4,0.3,1139.3,148,503,Normal,0.10,306,257,32.0,1.0,238.0,49.99,0.9,237.8,49.99,0.9,239.6,49.99,1135.882,34.179,305.332,455.720
2015-10-14 8:16:55,22.0,739.5,705.6,0.4,0.4,1139.3,148,566,Normal,0.10,338,287,32.0,1.0,237.9,49.99,0.9,237.5,49.99,0.9,239.4,49.99,1135.882,34.179,305.332,455.720
2015-10-14 8:21:55,23.0,723.1,713.6,0.5,0.4,1139.3,148,625,Normal,0.10,369,316,33.0,1.0,238.4,50.01,0.9,238.1,50.01,0.9,240.1,50.01,1135.882,34.179,305.332,455.720
2015-10-14 8:26:55,23.0,720.0,734.3,0.5,0.4,1139.4,148,657,Normal,0.20,385,331,33.0,1.0,238.2,50.00,0.9,237.3,50.00,0.9,239.4,50.00,1135.982,34.182,305.359,455.760
2015-10-14 8:31:55,24.0,712.0,729.2,0.5,0.4,1139.5,149,646,Normal,0.30,379,326,33.0,1.0,237.9,50.01,0.8,237.3,50.01,0.9,239.5,50.01,1136.082,34.185,305.386,455.800
2015-10-14 8:36:56,24.0,762.6,754.6,0.5,0.5,1139.5,149,766,Normal,0.30,446,379,34.0,1.1,237.7,50.00,1.0,237.0,50.00,1.0,239.4,50.00,1136.082,34.185,305.386,455.800
