Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2017-11-25 8:32:46,23.0,199.7,175.3,0.0,0.0,33918.8,8279,0,Fault,10.80,31,26,25.0,0.0,240.7,50.02,0.0,240.6,50.02,0.0,244.5,50.02,33817.044,1017.564,9090.238,13567.520
2017-11-25 8:33:5,8.0,117.7,116.9,0.0,0.0,33908.0,8279,0,Fault,0.00,25,24,3.0,0.0,241.3,50.02,0.0,241.4,50.02,0.0,245.5,50.02,33806.276,1017.240,9087.344,13563.200
2017-11-25 8:38:6,12.0,562.4,561.6,0.0,0.0,33908.0,8279,0,Fault,0.00,122,90,9.0,0.0,242.1,49.99,0.0,242.0,49.99,0.0,245.7,49.99,33806.276,1017.240,9087.344,13563.200
2017-11-25 8:43:6,14.0,549.4,549.0,0.0,0.0,33908.0,8279,0,Check,0.00,116,89,11.0,0.0,237.1,49.99,0.0,237.3,49.99,0.0,241.1,49.99,33806.276,1017.240,9087.344,13563.200
2017-11-25 8:48:6,15.0,566.7,565.8,0.0,0.0,33908.0,8279,0,Fault,0.00,120,89,11.0,0.0,238.4,50.02,0.0,237.7,50.02,0.0,242.3,50.02,33806.276,1017.240,9087.344,13563.200
2017-11-25 8:53:6,15.0,571.4,498.8,0.2,0.2,33908.0,8279,162,Normal,0.00,120,102,25.0,1.1,237.5,49.99,0.8,236.9,49.99,0.9,240.8,49.99,33806.276,1017.240,9087.344,13563.200
2017-11-25 8:58:7,16.0,539.7,526.6,0.2,0.2,33908.0,8279,181,Normal,0.00,130,110,25.0,1.1,236.4,50.01,0.8,236.3,50.01,0.8,240.3,50.01,33806.276,1017.240,9087.344,13563.200
2017-11-25 9:3:7,16.0,560.7,496.5,0.2,0.2,33908.0,8279,176,Normal,0.00,127,109,26.0,1.1,238.9,50.01,0.8,238.5,50.01,0.9,242.2,50.01,33806.276,1017.240,9087.344,13563.200
2017-11-25 9:8:7,17.0,525.7,510.6,0.2,0.2,33908.0,8279,216,Normal,0.00,147,128,27.0,1.1,238.3,49.99,0.8,237.9,49.99,0.9,242.1,49.99,33806.276,1017.240,9087.344,13563.200
2017-11-25 9:13:7,17.0,552.7,523.6,0.3,0.2,33908.0,8279,261,Normal,0.00,170,150,29.0,1.1,238.5,50.01,0.8,238.2,50.01,0.9,242.2,50.01,33806.276,1017.240,9087.344,13563.200
