Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2017-7-1 4:52:17,0.0,114.9,114.6,0.0,0.0,26690.3,6488,0,Fault,0.00,23,21,0.0,0.0,241.2,49.98,0.0,241.0,49.98,0.0,242.9,49.98,26610.229,800.709,7153.000,10676.120
2017-7-1 4:52:36,22.0,117.0,116.7,0.0,0.0,26690.3,6488,0,Fault,0.00,24,22,20.0,0.0,241.2,49.99,0.0,241.0,49.99,0.0,242.9,49.99,26610.229,800.709,7153.000,10676.120
2017-7-1 4:57:36,25.0,547.6,547.0,0.0,0.0,26690.3,6488,0,Fault,0.00,112,79,23.0,0.0,241.2,50.00,0.0,241.1,50.00,0.0,243.4,50.00,26610.229,800.709,7153.000,10676.120
2017-7-1 5:2:37,27.0,527.2,515.9,0.2,0.2,26690.3,6488,193,Normal,0.00,138,114,34.0,1.0,240.2,49.99,0.8,240.2,49.99,0.9,241.9,49.99,26610.229,800.709,7153.000,10676.120
2017-7-1 5:7:37,28.0,500.2,508.0,0.2,0.2,26690.3,6488,197,Normal,0.00,138,118,35.0,1.1,240.1,49.97,0.8,240.0,49.97,1.0,242.0,49.97,26610.229,800.709,7153.000,10676.120
2017-7-1 5:12:37,29.0,514.1,490.1,0.2,0.2,26690.3,6488,200,Normal,0.00,140,120,36.0,1.0,240.6,49.99,0.8,240.2,49.99,0.9,242.3,49.99,26610.229,800.709,7153.000,10676.120
2017-7-1 5:17:37,29.0,513.2,476.0,0.2,0.2,26690.3,6488,210,Normal,0.00,145,124,36.0,0.9,240.0,49.97,0.8,240.0,49.97,0.9,241.6,49.97,26610.229,800.709,7153.000,10676.120
2017-7-1 5:22:37,30.0,534.1,528.0,0.3,0.2,26690.3,6488,264,Normal,0.00,175,149,37.0,1.0,240.1,49.99,0.8,239.8,49.99,0.9,242.1,49.99,26610.229,800.709,7153.000,10676.120
2017-7-1 5:27:37,30.0,539.2,548.0,0.4,0.3,26690.3,6488,392,Normal,0.00,243,209,38.0,0.9,240.1,49.98,0.8,239.7,49.98,0.9,242.0,49.98,26610.229,800.709,7153.000,10676.120
2017-7-1 5:32:37,30.0,541.3,496.9,0.4,0.4,26690.4,6488,427,Normal,0.10,259,227,39.0,0.9,239.7,49.97,0.8,239.7,49.97,0.9,241.7,49.97,26610.329,800.712,7153.027,10676.160
2017-7-1 5:37:37,31.0,561.0,511.9,0.5,0.5,26690.4,6488,501,Normal,0.10,298,262,39.0,0.9,239.2,49.98,0.9,239.5,49.98,1.0,241.1,49.98,26610.329,800.712,7153.027,10676.160
